iter	Logloss
0	0.6815901862
1	0.6693023682
2	0.6587917752
3	0.6521749708
4	0.641548072
5	0.6344479031
6	0.6281223721
7	0.6157446543
8	0.6096376631
9	0.5993203905
10	0.5943024953
11	0.5867953406
12	0.5820507473
13	0.574173016
14	0.5665080176
15	0.5593212975
16	0.5526672363
17	0.5467196994
18	0.5418927087
19	0.5350434197
20	0.529764896
21	0.5207244873
22	0.5128867255
23	0.5093530443
24	0.5081916809
25	0.5029269324
26	0.4966826545
27	0.4941213396
28	0.4906404283
29	0.4867924584
30	0.4822328779
31	0.4759468502
32	0.4711158752
33	0.4641327752
34	0.458683353
35	0.4541219923
36	0.4512334188
37	0.4493406508
38	0.4467879401
39	0.4428255293
40	0.4403765361
41	0.4370687697
42	0.4332998488
43	0.4299968719
44	0.4243261973
45	0.4211055332
46	0.4169718424
47	0.4132626851
48	0.4089680566
49	0.4036411709
50	0.3993325127
51	0.3961103227
52	0.3920089722
53	0.3891375648
54	0.3861279382
55	0.3833122677
56	0.3785112593
57	0.3766344706
58	0.3742827521
59	0.3718349033
60	0.3695107778
61	0.366081704
62	0.3647166782
63	0.3613309224
64	0.3592527178
65	0.3566222721
66	0.3537076314
67	0.3471333398
68	0.3445378198
69	0.3422352685
70	0.3399475522
71	0.3360992432
72	0.3334561666
73	0.330687205
74	0.3281637616
75	0.3257079654
76	0.3237200419
77	0.3217528449
78	0.3195277744
79	0.3157975091
80	0.3132660336
81	0.3107873705
82	0.3090955098
83	0.3062304179
84	0.304097663
85	0.3025359048
86	0.2995039834
87	0.2973557366
88	0.2950025347
89	0.293508127
90	0.2909396278
91	0.2883517371
92	0.287082884
93	0.2860155106
94	0.2843380186
95	0.2828902986
96	0.281481213
97	0.2788223902
98	0.2779951731
99	0.2762308757
100	0.2739758809
101	0.2721992493
102	0.2706854502
103	0.2693974389
104	0.2679434882
105	0.2655877007
106	0.2637232886
107	0.261712265
108	0.2598239899
109	0.2571103414
110	0.2542977863
111	0.252798801
112	0.250969696
113	0.2492351532
114	0.245357577
115	0.2436313417
116	0.2409955555
117	0.2394856771
118	0.23598796
119	0.232445844
120	0.2298949983
121	0.2291237725
122	0.227861913
123	0.2250382317
124	0.2224302504
125	0.2200205061
126	0.2180329005
127	0.217188051
128	0.2164520688
129	0.2153068542
130	0.2140387217
131	0.2122808033
132	0.2096168094
133	0.2076834785
134	0.2053559409
135	0.2027292252
136	0.2012174182
137	0.1994741652
138	0.1984310998
139	0.196860377
140	0.1955067105
141	0.1932183372
142	0.191949696
143	0.1907287174
144	0.1895532608
145	0.1866486655
146	0.1860215293
147	0.1846042209
148	0.1837984721
149	0.1818485896
150	0.1806174808
151	0.1797161314
152	0.1789173974
153	0.1777095159
154	0.1768217829
155	0.1748901897
156	0.173620669
157	0.1722027885
158	0.1706151115
159	0.1692190276
160	0.167662006
161	0.1672784593
162	0.1652806388
163	0.1639357885
164	0.1631736014
165	0.1620033476
166	0.1608418253
167	0.1603924857
168	0.1588944965
169	0.1585219913
170	0.1568026649
171	0.1553949886
172	0.1531892565
173	0.1514979892
174	0.1505152596
175	0.1497594621
176	0.1478090498
177	0.1466680421
178	0.1453998354
179	0.1436590407
180	0.1420022117
181	0.1411894162
182	0.1397873561
183	0.1385568301
184	0.1371285121
185	0.1361011081
186	0.1346109602
187	0.1332485623
188	0.1317186673
189	0.1305666606
190	0.1295910623
191	0.1283569972
192	0.1275302887
193	0.1269536124
194	0.1257893032
195	0.1247079002
196	0.1233453963
197	0.1222603268
198	0.1212675201
199	0.1201568815
200	0.1191176944
201	0.1182083766
202	0.1169944763
203	0.1158881293
204	0.1147247738
205	0.1131736861
206	0.1122489823
207	0.1112102615
208	0.1103970634
209	0.1093824599
210	0.1090184318
211	0.1084212197
212	0.1075676282
213	0.1068025801
214	0.1061349551
215	0.1053881009
216	0.1047915459
217	0.1039887534
218	0.1037451744
219	0.1031526989
220	0.1025102721
221	0.1018193563
222	0.1013397323
223	0.1001048618
224	0.09927546183
225	0.09808368683
226	0.09757374658
227	0.0967256546
228	0.09591291216
229	0.0951540947
230	0.09431459639
231	0.09353069729
232	0.09306262334
233	0.09267724355
234	0.09168862237
235	0.09137318929
236	0.09110308753
237	0.09055850771
238	0.08998070823
239	0.08939622243
240	0.08880613115
241	0.08791896502
242	0.08714444902
243	0.08664947616
244	0.08600627051
245	0.08543483946
246	0.08472319709
247	0.08380324576
248	0.08335867988
249	0.08283751806
250	0.08215164079
251	0.08161001205
252	0.08118856748
253	0.08049858411
254	0.08008441925
255	0.07984472911
256	0.07941768434
257	0.07890260484
258	0.07800335354
259	0.07769216961
260	0.07706185977
261	0.07626111772
262	0.07569964727
263	0.075380675
264	0.07480328878
265	0.07434092628
266	0.07394886017
267	0.07343630261
268	0.07276208666
269	0.07201609082
270	0.07180550893
271	0.07124265565
272	0.07089324527
273	0.07051785787
274	0.0700700389
275	0.06967574226
276	0.06911172337
277	0.06835505168
278	0.06787932714
279	0.06733912892
280	0.06698570781
281	0.06642948257
282	0.06603413688
283	0.06561963823
284	0.06505653593
285	0.06444612609
286	0.06390596496
287	0.06336981985
288	0.06295486026
289	0.06269376543
290	0.06215159098
291	0.06178527408
292	0.06121511989
293	0.06094092263
294	0.06040100522
295	0.05974402957
296	0.05934358173
297	0.0589849684
298	0.05890425576
299	0.05850939751
